DBN,School Name,School Pupil-Teacher Ratio
02M042,P.S. 042 BENJAMIN ALTMAN,14.5
02M041,P.S. 041 GREENWICH VILLAGE,15.7
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,16.9
04M038,P.S. 38 ROBERTO CLEMENTE,9.9
04M037,RIVER EAST ELEMENTARY,11.4
05M036,P.S. 036 MARGARET DOUGLAS,12.1
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,10.9
02M033,P.S. 033 CHELSEA PREP,17.3
05M030,P.S. 030 HERNANDEZ/HUGHES,7.4
06M028,P.S. 028 WRIGHT BROTHERS,12
01M020,P.S. 020 ANNA SILVER,13.3
01M019,P.S. 019 ASHER LEVY,7
01M015,P.S. 015 ROBERTO CLEMENTE,9.2
02M011,P.S. 011 WILLIAM T. HARRIS,15
03M009,P.S. 009 SARAH ANDERSON,14.5
06M008,P.S. 008 LUIS BELLIARD,14
02M006,P.S. 006 LILLIE D. BLAKE,17.5
06M005,P.S. 005 ELLEN LURIE,13.1
06M004,P.S. 004 DUKE ELLINGTON,13.8
02M003,P.S. 003 CHARRETTE SCHOOL,15.6
02M002,P.S. 002 MEYER LONDON,11.7
02M001,P.S. 001 ALFRED E. SMITH,11.7
20K971,"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",11.9
15K839,M.S. 839,13.9
17K770,P.S. 770 NEW AMERICAN ACADEMY,14.7
19K760,HIGHLAND PARK COMMUNITY SCHOOL,15.9
20K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,16
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,12.3
20K686,BROOKLYN SCHOOL OF INQUIRY,18.3
20K682,THE ACADEMY OF TALENTED SCHOLARS,6.9
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,12.2
15K676,RED HOOK NEIGHBORHOOD SCHOOL,13.7
16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,16.7
16K628,BROOKLYN BROWNSTONE SCHOOL,16.2
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,19.8
23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,19.8
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,12.8
17K532,NEW BRIDGES ELEMENTARY,11.7
15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,13.8
20K506,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,14.3
20K503,PS 503: THE SCHOOL OF DISCOVERY,12
23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,13.7
15K418,THE CHILDREN'S SCHOOL,13.2
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,14.6
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,14.2
17K399,P.S. 399 STANLEY EUGENE CLARK,18.9
17K398,P.S. 398 WALTER WEAVER,12.9
17K397,P.S. 397 FOSTER-LAURIE,11.8
